year,avg tuition
1985,9169.777778
1986,9865.444444
1987,10645.11111
1988,11410.77778
1989,12186.33333
1990,13082.44444
1991,14053
1992,15118.22222
1993,16111.77778
1994,17041.22222
1995,18040.55556
1996,19088.55556
1997,20062.22222
1998,21046.44444
1999,21983.44444
2000,22913
2001,23883.66667
2002,24956.11111
2003,26434.66667
2004,27981.55556
2005,29618.44444
2006,31080
2007,32517.66667
2008,34094.55556
2009,35434.55556
2010,37000.33333
2011,38543.44444
2012,40157.55556
2013,42044.33333
2014,43984.11111
2015,46063.55556
2016,48049
2017,49797.22222
