year,Board,Health Services Fee,Room,Student Services Fee,Tuition
1985,1925,300,1635,740,9500
1986,1980,324,1750,780,10266
1987,2035,350,1885,835,11040
1988,2145,370,2065,875,11645
1989,2145,405,2400,950,12310
1990,2275,460,2560,1015,13085
1991,2425,490,2700,1080,13960
1992,2620,550,2900,1150,14860
1993,2765,584,3075,1220,15870
1994,2910,614,3225,1275,16856
1995,3040,634,3370,1335,17851
1996,3200,634,3510,1393,18838
1997,3336,654,3659,1477,19770
1998,3470,666,3808,1536,20600
1999,3574,686,3940,1590,21342
2000,3685,711,4072,1642,22054
2001,3792,745,4190,1689,22694
2002,3919,816,4331,1746,23457
2003,4041,1020,4461,1798,24630
2004,4162,1142,4706,1852,26066
2005,4286,1264,4974,1908,27448
2006,4430,1370,5148,1975,28752
2007,4618,1390,5328,2044,30275
2008,4766,1426,5856,2116,31456
2009,4982,1426,6060,2190,32557
2010,4608,1126,7248,2190,33696
2011,4783,1166,7525,2273,34976
2012,4990,1186,7811,2360,36305
2013,5264,930,8366,2360,37576
2014,5448,958,8667,2443,38891
2015,5660,992,9009,2528,40418
2016,5858,1042,9523,2604,41632
2017,6057,1088,9894,2706,43280
